,Positive,Neutral,Negative,Compound,NewsSource
0,0.099705882,0.827352941,0.062647059,0.181470588,Al-Jazeera
1,0.048461538,0.773076923,0.167692308,-0.226538462,Al-Jazeera
2,0.08,0.768888889,0.14,-0.212222222,Al-Jazeera
3,0.040434783,0.755652174,0.193913043,-0.356086957,Al-Jazeera
4,0.131851852,0.804074074,0.054814815,0.257407407,Al-Jazeera
5,0.054285714,0.818571429,0.115238095,-0.17952381,Al-Jazeera
6,0.082727273,0.736363636,0.168181818,-0.247272727,Al-Jazeera
7,0.082380952,0.863333333,0.041904762,0.218095238,Al-Jazeera
8,0.145454545,0.778181818,0.065909091,0.306818182,Al-Jazeera
9,0.184716981,0.741698113,0.063773585,0.381132075,Al-Jazeera
10,0.100588235,0.816470588,0.072941176,0.077647059,Al-Jazeera
11,0.084444444,0.837222222,0.068888889,0.085555556,BBC
12,0.07,0.809565217,0.11,-0.137826087,BBC
13,0.031363636,0.815,0.143636364,-0.32,BBC
14,0.100294118,0.803529412,0.084117647,0.057941176,BBC
15,0.083333333,0.817333333,0.09,-0.104666667,BBC
16,0.175416667,0.781666667,0.032083333,0.502916667,BBC
17,0.105,0.806071429,0.079642857,0.045357143,BBC
18,0.11875,0.7990625,0.0721875,0.12375,BBC
19,0.132962963,0.778518519,0.077777778,0.271111111,BBC
20,0.118888889,0.749111111,0.121111111,-0.085777778,BBC
21,0.083333333,0.821111111,0.083333333,-0.096666667,Breitbart
22,0.133157895,0.772105263,0.083684211,0.247894737,Breitbart
23,0.1375,0.835,0.0175,0.64,Breitbart
24,0.01125,0.81875,0.15875,-0.3825,Breitbart
25,0.124,0.848,0.018,0.478,Breitbart
26,0.095945946,0.781621622,0.11,-0.102162162,Breitbart
27,0.097,0.766,0.126,-0.117,Breitbart
28,0.153333333,0.8,0.036666667,0.25,Breitbart
29,0.077692308,0.836923077,0.073846154,0.006153846,Breitbart
30,0.085,0.848333333,0.056666667,0.036666667,Breitbart
31,0.099705882,0.827352941,0.062647059,0.181470588,CNN
32,0.22,0.75,0.021666667,0.53,CNN
33,0.063636364,0.855454545,0.069090909,-0.035454545,CNN
34,0.097777778,0.824074074,0.066296296,0.123333333,CNN
35,0.068,0.874,0.05,0.032,CNN
36,0.112666667,0.796666667,0.078,0.148666667,CNN
37,0.093529412,0.865882353,0.030588235,0.272941176,CNN
38,0.073684211,0.856842105,0.058947368,0.074736842,CNN
39,0.102666667,0.813333333,0.072,0.112,CNN
40,0.110285714,0.748285714,0.129428571,0.018,CNN
41,0.12875,0.8075,0.0525,0.25125,FOX
42,0.114166667,0.8025,0.073333333,0.170833333,FOX
43,0.125,0.833333333,0.031666667,0.396666667,FOX
44,0.152857143,0.771428571,0.065714286,0.465714286,FOX
45,0.055,0.797916667,0.13625,-0.260416667,FOX
46,0.066153846,0.85,0.073846154,0.018461538,FOX
47,0.078666667,0.798666667,0.110666667,-0.042666667,FOX
48,0.015,0.865,0.1075,-0.4,FOX
49,0.133888889,0.766111111,0.088333333,0.213333333,FOX
50,0.07,0.758,0.161,-0.051,FOX
51,0.296923077,0.644615385,0.046923077,0.646923077,HuffPo
52,0.099166667,0.775,0.11375,-0.192083333,HuffPo
53,0.076666667,0.871666667,0.040555556,0.272777778,HuffPo
54,0.095,0.740833333,0.1525,-0.165,HuffPo
55,0.052307692,0.803846154,0.131538462,-0.313846154,HuffPo
56,0.116,0.764,0.104,0.032,HuffPo
57,0.093333333,0.843888889,0.051111111,0.141666667,HuffPo
58,0.103571429,0.743928571,0.140714286,-0.181428571,HuffPo
59,0.12625,0.795,0.065,0.31375,HuffPo
60,0.097142857,0.84,0.051428571,0.315714286,HuffPo
61,0.0625,0.79875,0.126875,-0.1475,NBCNews
62,0.142222222,0.732222222,0.112222222,0.031111111,NBCNews
63,0.147142857,0.834285714,0.008571429,0.491428571,NBCNews
64,0.144,0.814,0.03,0.494,NBCNews
65,0.125,0.827222222,0.037777778,0.404444444,NBCNews
66,0.041333333,0.835666667,0.112666667,-0.232666667,NBCNews
67,0.135454545,0.816363636,0.038181818,0.337272727,NBCNews
68,0.097096774,0.824193548,0.068709677,0.171612903,NBCNews
69,0.093333333,0.83,0.063333333,0.31,NBCNews
70,0.063846154,0.816538462,0.107307692,-0.158076923,NBCNews
71,0.1,0.852903226,0.035806452,0.303225806,NPR
72,0.232142857,0.744285714,0.014285714,0.479285714,NPR
73,0.111333333,0.791333333,0.086666667,0.236666667,NPR
74,0.066666667,0.87,0.05,-0.03,NPR
75,0.091428571,0.848571429,0.05,0.195714286,NPR
76,0.087647059,0.830588235,0.071764706,0.208823529,NPR
77,0.103636364,0.817272727,0.067272727,0.161818182,NPR
78,0.144736842,0.814210526,0.030526316,0.461052632,NPR
79,0.08375,0.89,0.01625,0.298125,NPR
80,0.128666667,0.778,0.083333333,-0.060666667,NPR
81,0.076428571,0.890714286,0.022142857,0.302857143,NYT
82,0.108571429,0.825,0.051428571,0.315714286,NYT
83,0.101212121,0.796969697,0.090606061,-0.006363636,NYT
84,0.125,0.801111111,0.062777778,0.244444444,NYT
85,0.094666667,0.871333333,0.022666667,0.466666667,NYT
86,0.0884,0.8156,0.084,-0.0156,NYT
87,0.070434783,0.877391304,0.04,0.136086957,NYT
88,0.116666667,0.781666667,0.089166667,0.1475,NYT
89,0.07,0.855,0.06,0.021666667,NYT
90,0.110930233,0.835116279,0.043255814,0.310232558,NYT
91,0.088181818,0.845454545,0.053636364,0.240909091,WashPo
92,0.111428571,0.789285714,0.087857143,0.134285714,WashPo
93,0.12,0.819166667,0.049166667,0.436666667,WashPo
94,0.090714286,0.8,0.097142857,0.000714286,WashPo
95,0.123333333,0.8225,0.041666667,0.460833333,WashPo
96,0.094705882,0.825294118,0.067647059,0.113529412,WashPo
97,0.058461538,0.760769231,0.168461538,-0.463846154,WashPo
98,0.099230769,0.831538462,0.056923077,0.213846154,WashPo
99,0.100555556,0.803333333,0.084444444,-0.081666667,WashPo
100,0.096875,0.81125,0.08,-0.034375,WashPo
